line,machine,planned_runtime_min,actual_runtime_min,planned_units,good_units,defect_units,target_cycle_time_sec,actual_cycle_time_sec,unplanned_downtime_min,scrap_cost_inr,availability,performance,quality,oee,defect_rate
Line_A,M04,375638.03,357576.21,263742,250476,13266,47.75433519553072,49.31430167597766,18061.45,555830.75,0.9519169557991772,0.9683668544939198,0.9497008440066429,0.8754388233762737,0.050299155993357145
Line_C,M16,368942.81,359331.93,260778,246630,14148,47.937733485193625,48.86398633257404,9610.96,596437.05,0.9739502173792193,0.9810442635384632,0.9457469571819709,0.9036501275050196,0.054253042818029125
Line_C,M10,362702.93,353878.11,257318,243722,13596,48.14976851851852,49.16767361111111,8824.63,571813.11,0.9756692894650727,0.9792972695709857,0.9471626547695847,0.9049857586018102,0.052837345230415285
Line_C,M12,341766.07,332905.32,244913,232165,12748,47.90159509202454,48.868134969325155,8860.76,535640.04,0.9740736404874831,0.9802214699229402,0.9479488634739683,0.9051090595570419,0.052051136526031695
Line_C,M06,337520.32,329102.27,240542,227463,13079,47.92691542288557,48.81646766169155,8417.87,550473.13,0.9750591312546754,0.981777619696477,0.9456269591173267,0.9052403976009036,0.05437304088267329
Line_C,M14,325085.53,316925.5,231985,219363,12622,48.15446313065977,49.0320957309185,8159.97,530205.96,0.9748988212425203,0.9821008548140577,0.9455913097829601,0.9053554215261274,0.054408690217039896
Line_C,M07,368178.55,358975.02,263663,249551,14112,47.96158494868871,48.874253135689855,9203.62,592502.62,0.9750025361336233,0.9813261967509294,0.9464771317932361,0.9055850895210457,0.05352286820676394
Line_C,M05,370240.46,361031.26,266282,251722,14560,47.97511891279728,48.803103057757646,9209.1,618203.95,0.9751264353982274,0.9830341905927485,0.9453211257238566,0.9061684072488857,0.05467887427614334
Line_C,M03,355535.93,346738.57,255901,241806,14095,47.83151300236406,48.615307328605205,8797.46,594557.52,0.9752560592117934,0.983877622721929,0.9449201058221735,0.906681658293701,0.055079894177826584
Line_C,M11,362748.65,353429.85,256748,242866,13882,48.18335648148148,48.95181712962963,9318.95,579989.13,0.974310586683093,0.9843016931095084,0.9459314191347158,0.9071629497250742,0.054068580865284245
Line_C,M01,360680.4,351341.74,254216,240429,13787,48.24328671328671,48.96235431235431,9338.54,578198.64,0.9741082132547263,0.9853138679876314,0.9457665921893194,0.9077489801818783,0.05423340781068068
Line_C,M02,354726.18,345901.13,254480,240670,13810,47.804241706161136,48.55612559241707,8824.95,580193.09,0.975121514854077,0.9845151589612546,0.9457324740647595,0.9079238991299525,0.05426752593524049
Line_C,M08,352230.81,343567.18,254981,241031,13950,47.93422619047619,48.66016666666667,8663.94,589145.45,0.9754035429211885,0.9850814223230401,0.9452900412187575,0.908283741041599,0.054709958781242525
Line_C,M15,368833.9,359991.5,260355,246174,14181,48.17759681093394,48.933633257403194,8842.25,597916.78,0.976026064849245,0.9845497585987063,0.9455320619922798,0.9086054670377972,0.05446793800772023
Line_B,M02,322792.87,314220.33,231086,221617,9469,47.950312499999995,48.91677083333334,8572.51,395923.51,0.9734425980350806,0.9802428018679685,0.9590239131751815,0.9151103038588403,0.040976086824818465
Line_B,M07,316257.65,308244.01,228410,219108,9302,48.14405835543767,49.1356100795756,8013.59,387022.65,0.9746610398199063,0.9798200994648871,0.9592749879602469,0.9161003968579704,0.040725012039753074
Line_B,M05,315180.0,307007.48,223384,214019,9365,47.88530666666667,48.70234666666667,8172.7300000000005,393199.74,0.9740703090297607,0.9832238063271969,0.9580766751423557,0.9175779279821936,0.04192332485764424
Line_B,M14,345082.34,336203.67,245538,235262,10276,48.056248477466504,48.882716199756395,8878.75,432110.76,0.9742708653244903,0.9830928437177554,0.9581490441398073,0.9177139237760632,0.04185095586019272
Line_B,M16,329555.98,321214.0,236477,226883,9594,48.13802798982188,49.01511450381679,8342.02,403274.71,0.9746872139901694,0.9821057948578982,0.9594294582559826,0.9184099738122381,0.04057054174401739
Line_D,M02,292717.54,285182.71,208931,201363,7568,48.06302725968436,49.10615494978479,7534.78,315367.51,0.974259041668634,0.978757699698396,0.9637775150647822,0.9190230976246366,0.03622248493521785
Line_B,M11,343586.94,335199.99,244031,233944,10087,48.25057457212714,49.100562347188266,8386.61,423655.8,0.9755900209711114,0.9826888382855803,0.9586650876323091,0.9190735849887729,0.04133491236769099
Line_B,M12,326354.53,318035.76,234678,225193,9485,47.87536774193549,48.704077419354846,8318.86,398667.61,0.9745100213562226,0.9829847987821646,0.9595829178704438,0.9192118608896068,0.04041708212955624
Line_B,M08,325459.98,317315.2,231122,221783,9339,47.910412903225804,48.74979354838709,8144.91,394801.26,0.9749745575477514,0.9827818625666969,0.9595927691868363,0.9194696157589686,0.04040723081316361
Line_B,M15,331199.82,322783.75,235290,225648,9642,48.23103797468354,49.00596202531646,8415.99,407460.59,0.974589146817773,0.9841871474692693,0.9590207828637001,0.9198717442222614,0.040979217136299886
Line_D,M14,298670.6,291273.93,214074,206140,7934,47.95658707865168,48.933623595505615,7396.65,333561.84,0.9752346899895739,0.980033432125724,0.9629380494595327,0.9203401741356315,0.03706195054046731
Line_D,M08,280361.15,273232.19,198537,191164,7373,47.9953003003003,48.93099099099099,7128.84,311423.91,0.974572225859396,0.9808773402757576,0.9628633453713917,0.9204355546802359,0.03713665462860827
Line_B,M01,302638.1,295044.48,217546,208699,8847,48.00594182825485,48.777160664819945,7593.57,371729.86,0.9749085789264471,0.9841889354350769,0.9593327388230535,0.9204742337290575,0.04066726117694648
Line_D,M07,317776.07,309486.7,227996,219560,8436,47.997314814814814,48.8787962962963,8289.17,353140.47,0.9739144297429319,0.9819659740363066,0.9629993508658047,0.9209652300601749,0.03700064913419534
Line_B,M06,347338.25,338419.84,245949,236009,9940,48.169685230024214,48.877820823244555,8918.37,416743.64,0.9743235592394446,0.9855121283786127,0.9595851172397529,0.9214010035970753,0.040414882760247045
Line_D,M16,309448.33,301744.48,220470,212396,8074,47.96468113975577,48.89702849389417,7704.01,338728.01,0.9751045675379795,0.9809324332611578,0.9633782374019141,0.921482551861533,0.03662176259808591
Line_D,M12,299746.89,292391.5,216187,208211,7976,48.068683473389356,48.99495798319328,7355.56,333022.06,0.9754613300575028,0.9810944932308817,0.9631060147002364,0.9217114670865413,0.03689398529976363
Line_B,M03,308626.69,300954.46,221812,212910,8902,48.04948158253751,48.76246930422919,7672.36,377126.21,0.9751407436602454,0.9853783507713002,0.9598669143238419,0.9223193949399491,0.04013308567615819
Line_B,M10,324805.23,316841.17,232564,223307,9257,47.72564036222509,48.4632212160414,7963.96,389151.44,0.9754805056556509,0.9847806060903734,0.9601959030632428,0.9223971034441704,0.0398040969367572
Line_D,M11,316137.11,308354.68,224948,216561,8387,47.857294429708226,48.70145888594165,7782.59,354280.0,0.9753827382049517,0.9826665468438954,0.9627158276579476,0.9227400033104076,0.037284172342052384
Line_D,M15,285420.8,278317.16,204360,197008,7352,48.25674008810572,49.11380323054332,7103.68,310078.19,0.9751116947328295,0.9825494446354626,0.9640242708944999,0.9236272716027518,0.0359757291055001
Line_D,M05,313987.08,306741.05,223838,215454,8384,48.04223262032085,48.85562834224599,7246.01,352702.53,0.9769225217801955,0.983351033452541,0.9625443401031103,0.9246757006329194,0.03745565989688972
Line_D,M03,308463.37,300742.99,218158,210032,8126,47.983743169398906,48.672008196721315,7720.34,340488.77,0.9749714852690613,0.9858591199988996,0.9627517670679049,0.9253821052089076,0.03724823293209509
Line_D,M01,297869.55,290424.53,213737,205962,7775,47.8290395480226,48.540776836158194,7445.09,327557.08,0.9750057701433398,0.9853373321457555,0.9636235186233548,0.9257623500752014,0.03637648137664513
Line_D,M10,295526.47,288631.5,212060,204307,7753,48.1250284090909,48.89964488636363,6895.02,325297.34,0.976668858122929,0.98415905720639,0.963439592568141,0.9260557302950829,0.036560407431858906
Line_A,M01,363568.76,354248.03,256453,249236,7217,47.99569284064665,48.973475750577364,9320.8,302473.34,0.974363226367414,0.980034439154154,0.9718583912061859,0.9280368279939711,0.028141608793814072
Line_A,M11,386254.03,376689.64,277385,269153,8232,47.83052117263844,48.75692725298588,9564.67,347920.14,0.9752380836000597,0.980999498275587,0.970322836490798,0.9283156888658428,0.029677163509202013
Line_A,M10,366885.7,357710.15,263552,255916,7636,47.92971395881007,48.86466819221968,9175.76,320457.28,0.9749907123662765,0.9808664569309717,0.9710265905779505,0.9286273802161079,0.02897340942204954
Line_A,M08,402035.06,392158.65,283591,275203,8388,48.03458158995816,48.961317991631795,9876.51,351060.34,0.9754339584214372,0.9810720699587371,0.9704221925237402,0.9286659083226637,0.029577807476259824
Line_D,M06,292902.97,286022.7,208924,201304,7620,48.07463414634146,48.68529411764706,6880.15,317079.79,0.9765100708948088,0.9874569932795322,0.9635274070954031,0.929092574129612,0.03647259290459689
Line_A,M16,394364.46,384188.4,282009,273765,8244,47.99663124335813,48.83435706695005,10175.9,345531.36,0.9741963056204406,0.9828455646002787,0.9707668904183909,0.9294942681907908,0.029233109581609098
Line_A,M03,378578.5,369466.34,270759,263169,7590,47.79252502780868,48.75274749721913,9112.08,317730.4,0.9759305929945837,0.9803042388643793,0.9719676908246817,0.9298901375543307,0.028032309175318272
Line_A,M14,368083.1,359145.23,263503,255946,7557,48.0085502283105,48.924634703196354,8937.78,316509.49,0.9757177930744444,0.9812755990832976,0.9713210096279739,0.9299894181853993,0.028678990372026127
Line_A,M15,361195.53,352355.57,257448,250363,7085,48.00922183507549,48.95759581881533,8840.03,297881.23,0.9755258322272149,0.9806286651156314,0.972479879431963,0.9303020603793878,0.02752012056803704
Line_A,M02,386350.38,376550.06,275461,267650,7811,47.84252448313384,48.68300326441785,9800.25,327663.34,0.9746335955460947,0.9827356834022952,0.9716438987733291,0.9306475343101084,0.028356101226670927
Line_A,M06,388466.14,378776.01,277499,269816,7683,48.13494041170098,49.016598049837484,9690.39,323358.47,0.9750554063733843,0.9820130797890119,0.9723134137420315,0.9310067810624622,0.027686586257968496
Line_A,M05,392509.08,382824.03,280350,272297,8053,48.033875802997855,48.87396145610278,9685.03,339755.67,0.9753252841946994,0.9828111814946806,0.97127519172463,0.931026125592171,0.02872480827537007
Line_A,M12,409490.24,399640.98,291030,282881,8149,47.98644467213114,48.76215163934426,9849.23,342043.99,0.9759475097623816,0.984092027502182,0.9719994502284988,0.9335298150237356,0.02800054977150122
Line_A,M07,388881.69,379088.19,280220,272429,7791,47.98659090909091,48.68137445887446,9793.67,326779.77999999997,0.9748162480984898,0.985727938919011,0.9721968453358075,0.9341874593471251,0.02780315466419242
