batch_id,line,machine,shift,material_lot,operator_tenure_months,target_cycle_time_sec,actual_cycle_time_sec,ambient_temp_c,humidity_pct,pressure_bar,vibration_mm_s,tool_age_hours,planned_runtime_min,actual_runtime_min,unplanned_downtime_min,planned_units,good_units,defect_units,scrap_cost_inr,rework_minutes,defect_rate
64,Line_C,M01,Morning,L098,12.9,45.97,49.64,32.1,50.49,4.927,1.344,80.06,416.32,398.81,17.51,202,190,12,501.71,7.08,0.05941
65,Line_C,M10,Morning,L040,71.8,49.36,46.51,30.87,47.49,5.527,1.016,45.35,383.32,379.96,3.36,408,394,14,539.12,7.35,0.03431
66,Line_C,M10,Evening,L029,23.9,40.58,50.48,34.74,41.02,4.972,0.237,15.6,423.6,389.38,34.21,349,335,14,565.58,8.94,0.04011
67,Line_C,M14,Night,L027,42.2,50.04,45.31,28.45,51.7,4.873,0.819,16.14,470.0,465.97,4.03,331,320,11,452.23,5.44,0.03323
68,Line_B,M10,Morning,L111,33.0,52.74,55.98,32.55,61.02,5.525,1.037,15.98,416.41,404.5,11.9,282,278,4,166.58,1.81,0.01418
69,Line_A,M02,Evening,L069,19.7,44.96,46.05,29.73,61.23,5.863,1.362,29.32,391.3,385.96,5.34,300,294,6,181.18,1.91,0.02
70,Line_B,M09,Evening,L016,14.9,47.21,49.86,31.78,51.8,5.02,1.155,19.2,384.24,347.83,36.41,218,199,19,883.17,9.3,0.08716
71,Line_A,M07,Night,L098,11.4,48.3,48.92,29.07,39.18,5.339,0.558,6.86,437.3,433.26,4.04,367,361,6,239.02,3.45,0.01635
72,Line_B,M15,Morning,L120,14.3,48.46,47.79,37.03,51.73,5.401,0.702,32.34,438.24,431.1,7.14,350,343,7,356.08,2.23,0.02
73,Line_D,M12,Morning,L099,12.1,45.62,47.32,33.31,45.97,4.65,1.018,56.43,424.79,417.73,7.06,397,386,11,548.07,6.61,0.02771
74,Line_A,M14,Morning,L072,5.9,56.08,59.5,23.08,59.93,5.164,1.075,28.73,442.37,432.49,9.89,398,394,4,163.46,2.79,0.01005
75,Line_A,M12,Evening,L093,20.0,44.57,50.45,33.33,40.19,5.224,1.034,44.62,402.51,391.68,10.83,394,384,10,435.8,6.83,0.02538
76,Line_B,M03,Evening,L040,17.3,47.17,53.8,28.17,56.06,5.951,0.895,67.55,443.91,406.45,37.46,295,275,20,910.89,9.73,0.0678
77,Line_B,M14,Morning,L030,16.5,45.41,47.12,36.9,52.95,5.162,0.823,36.21,403.0,397.8,5.2,324,312,12,524.48,6.86,0.03704
78,Line_C,M02,Evening,L002,31.0,47.66,46.17,34.05,64.47,5.071,0.939,9.26,432.29,423.25,9.03,392,381,11,530.66,6.1,0.02806
79,Line_C,M05,Evening,L120,12.6,52.85,52.51,31.64,55.21,4.945,0.941,47.49,434.4,430.45,3.95,266,248,18,743.22,9.32,0.06767
80,Line_D,M03,Morning,L076,28.7,45.85,47.62,30.27,60.8,4.854,1.183,23.2,414.63,405.03,9.6,221,211,10,415.66,5.72,0.04525
81,Line_C,M02,Morning,L080,50.1,41.41,45.21,30.39,51.48,4.765,0.52,18.58,407.35,401.89,5.45,233,227,6,226.16,4.26,0.02575
82,Line_B,M15,Evening,L115,22.3,45.41,47.81,31.74,53.94,5.651,0.633,25.33,412.8,410.4,2.41,287,278,9,417.07,5.12,0.03136
83,Line_D,M03,Night,L033,31.4,50.27,49.29,25.23,54.76,4.409,0.889,50.4,408.71,399.34,9.37,340,322,18,824.73,11.01,0.05294
84,Line_A,M02,Evening,L094,9.9,41.61,44.31,30.71,55.5,4.793,0.497,31.89,422.94,411.82,11.12,351,344,7,281.29,4.15,0.01994
85,Line_A,M02,Evening,L072,26.7,51.39,58.19,27.55,52.87,4.715,1.075,60.82,393.11,389.48,3.64,416,403,13,512.85,9.36,0.03125
86,Line_A,M11,Night,L031,13.4,48.57,43.87,29.89,49.08,5.355,0.714,16.72,451.18,438.21,12.97,300,283,17,646.92,9.9,0.05667
87,Line_C,M04,Evening,L081,7.0,55.52,55.86,31.58,34.11,5.091,0.545,25.94,400.46,378.6,21.86,273,253,20,815.88,10.73,0.07326
88,Line_B,M11,Morning,L092,18.0,45.92,47.01,32.54,56.06,5.244,0.799,18.02,428.64,414.12,14.52,317,308,9,348.68,3.51,0.02839
89,Line_A,M05,Evening,L011,16.3,38.45,38.55,30.32,51.72,4.993,0.934,83.58,402.64,393.98,8.66,207,201,6,180.0,3.65,0.02899
90,Line_B,M04,Morning,L087,46.4,50.62,49.85,32.58,62.47,5.232,0.718,60.37,408.77,395.51,13.26,253,242,11,428.46,7.22,0.04348
91,Line_A,M03,Night,L102,47.3,41.96,46.19,24.51,44.97,5.429,1.109,148.12,425.73,406.22,19.51,381,356,25,1093.15,16.28,0.06562
92,Line_C,M04,Night,L001,27.5,45.94,48.46,31.22,43.6,5.074,0.651,14.46,448.52,440.77,7.75,220,211,9,384.76,4.29,0.04091
93,Line_B,M04,Morning,L097,24.3,54.13,57.81,29.87,53.68,4.932,1.06,64.71,395.67,384.08,11.59,393,377,16,656.75,4.0,0.04071
94,Line_B,M14,Evening,L021,20.5,46.75,52.48,32.59,49.55,5.278,0.791,17.12,441.61,436.62,4.99,330,325,5,203.39,2.89,0.01515
95,Line_B,M09,Morning,L004,19.5,48.71,51.27,30.85,45.68,5.734,0.611,6.04,402.28,386.72,15.55,199,193,6,233.98,3.44,0.03015
96,Line_C,M07,Morning,L088,15.6,50.07,53.84,33.81,47.71,4.789,0.68,111.57,410.1,398.24,11.86,240,215,25,869.74,15.01,0.10417
97,Line_B,M15,Morning,L119,25.3,50.75,48.45,30.12,40.35,5.112,0.973,15.49,419.54,396.87,22.68,411,402,9,447.75,3.97,0.0219
98,Line_A,M08,Morning,L105,18.2,49.14,54.72,23.97,56.57,4.95,1.039,8.64,418.71,414.05,4.66,374,371,3,132.6,2.28,0.00802
99,Line_A,M15,Evening,L073,24.1,44.13,41.44,30.25,55.77,5.068,0.969,11.6,436.93,431.33,5.6,314,308,6,259.83,3.4,0.01911
100,Line_D,M07,Evening,L056,24.3,44.2,49.73,30.24,56.78,5.85,0.958,3.84,418.09,402.79,15.3,374,362,12,528.7,9.66,0.03209
101,Line_D,M16,Evening,L080,24.6,51.23,50.4,34.79,31.18,4.866,1.023,21.25,405.45,399.62,5.82,327,317,10,413.87,4.25,0.03058
102,Line_C,M03,Night,L096,12.1,51.56,52.44,31.81,52.78,4.793,0.805,74.07,434.95,424.62,10.34,285,269,16,663.02,6.1,0.05614
103,Line_A,M09,Night,L002,10.8,49.33,52.34,30.06,54.35,6.182,1.09,5.58,411.75,403.05,8.7,301,289,12,464.64,6.02,0.03987
104,Line_D,M08,Morning,L072,19.3,48.13,53.24,28.11,50.02,5.573,1.284,84.08,440.78,437.92,2.86,302,288,14,541.35,10.09,0.04636
105,Line_C,M15,Evening,L020,16.4,48.83,47.79,33.4,43.88,5.356,0.665,9.85,445.34,435.56,9.78,218,205,13,641.93,5.43,0.05963
106,Line_C,M05,Night,L030,19.9,35.08,38.53,24.52,45.9,5.072,0.799,77.77,427.26,408.95,18.31,301,288,13,610.42,6.58,0.04319
107,Line_B,M06,Night,L093,27.5,42.02,41.71,30.78,56.69,5.611,1.135,7.85,407.14,397.08,10.06,252,239,13,579.68,6.33,0.05159
108,Line_A,M05,Night,L032,26.6,48.64,54.88,27.62,50.8,5.296,0.914,25.98,433.95,411.83,22.12,262,256,6,215.77,4.53,0.0229
109,Line_A,M10,Morning,L118,22.2,45.07,50.36,27.31,60.12,4.561,1.162,34.07,427.72,417.84,9.88,336,321,15,662.11,4.85,0.04464
110,Line_D,M04,Evening,L035,5.9,44.28,48.17,37.25,53.71,5.643,1.047,14.08,426.12,384.17,41.96,314,290,24,1169.24,8.82,0.07643
111,Line_B,M08,Morning,L118,7.3,41.36,36.14,29.48,61.72,4.994,1.334,64.38,423.09,418.0,5.09,236,228,8,356.59,4.49,0.0339
112,Line_A,M11,Morning,L103,17.7,50.3,52.11,27.62,60.0,5.042,1.187,26.64,443.54,431.99,11.55,401,377,24,1037.49,12.98,0.05985
113,Line_B,M04,Morning,L023,11.8,41.31,41.9,25.43,55.91,4.847,0.794,29.05,443.86,429.54,14.32,334,313,21,990.5,8.21,0.06287
114,Line_C,M05,Evening,L035,5.0,44.58,43.9,33.29,62.44,4.824,0.83,5.84,389.48,383.17,6.31,380,372,8,355.18,4.92,0.02105
115,Line_A,M03,Night,L119,20.4,44.77,44.36,34.55,69.86,4.323,0.685,17.01,431.01,430.21,0.79,258,236,22,1041.88,14.0,0.08527
116,Line_D,M03,Evening,L099,5.1,54.0,54.45,28.12,53.99,5.164,0.918,71.85,440.51,426.52,13.99,194,182,12,446.65,8.28,0.06186
117,Line_C,M15,Night,L051,10.7,49.68,48.45,30.53,48.78,5.774,0.718,20.57,395.46,389.88,5.57,196,179,17,744.57,5.81,0.08673
118,Line_C,M13,Night,L059,27.3,55.17,54.94,28.38,52.33,5.423,1.061,54.37,414.64,393.67,20.97,303,283,20,740.46,11.1,0.06601
119,Line_B,M04,Evening,L054,66.8,40.68,38.92,35.27,33.34,4.854,0.917,16.12,429.44,406.81,22.63,199,187,12,476.79,6.2,0.0603
120,Line_C,M10,Night,L063,17.6,44.18,46.01,34.78,63.21,5.53,0.925,32.45,374.56,370.26,4.3,347,321,26,899.7,10.48,0.07493
121,Line_C,M02,Morning,L057,17.9,52.07,49.26,36.29,62.77,4.69,0.989,24.69,418.74,395.57,23.17,387,355,32,1242.65,20.43,0.08269
122,Line_C,M14,Evening,L064,40.4,48.54,43.0,27.92,51.53,5.894,1.257,38.46,396.95,395.76,1.19,338,311,27,1221.01,15.09,0.07988
123,Line_A,M13,Morning,L103,18.1,50.12,56.36,30.25,59.39,5.73,0.545,73.64,394.12,354.96,39.16,349,329,20,835.49,12.56,0.05731
124,Line_B,M13,Night,L016,34.6,55.18,54.38,29.47,55.08,5.232,1.163,27.97,401.6,386.61,14.99,263,254,9,374.98,6.11,0.03422
125,Line_A,M06,Morning,L052,36.5,50.47,46.84,28.79,45.21,5.097,1.026,66.38,446.02,439.84,6.18,204,201,3,122.84,1.63,0.01471
126,Line_B,M06,Morning,L002,23.2,43.21,47.56,30.24,46.15,5.042,1.032,36.56,433.19,421.1,12.09,272,263,9,366.57,4.78,0.03309
127,Line_B,M14,Night,L021,13.2,47.98,53.38,21.58,47.6,5.318,1.054,109.77,431.75,413.33,18.42,323,301,22,1019.11,14.93,0.06811
128,Line_A,M09,Night,L094,39.9,54.41,55.95,30.5,44.96,5.035,1.343,36.9,442.26,421.29,20.97,293,275,18,821.05,11.86,0.06143
129,Line_A,M10,Night,L029,14.7,45.86,47.8,29.53,57.37,5.037,0.944,72.78,391.04,374.97,16.07,353,336,17,829.58,8.0,0.04816
130,Line_C,M16,Morning,L089,35.1,45.4,49.74,29.53,57.26,5.826,0.967,104.07,402.59,372.06,30.53,306,289,17,846.73,9.92,0.05556
131,Line_A,M14,Night,L020,14.0,48.45,50.1,35.57,71.08,5.401,1.019,29.76,432.41,407.62,24.79,221,201,20,856.27,12.25,0.0905
132,Line_D,M06,Morning,L118,19.8,49.55,42.07,32.9,32.32,4.679,0.963,28.62,431.82,425.87,5.95,196,190,6,266.53,3.16,0.03061
133,Line_C,M01,Morning,L060,22.1,49.86,51.48,35.32,57.79,5.193,0.857,84.23,449.28,440.27,9.0,184,173,11,553.44,6.38,0.05978
134,Line_B,M04,Morning,L058,7.1,55.09,55.54,30.32,63.28,5.843,1.026,95.01,422.23,402.73,19.49,273,254,19,824.89,10.85,0.0696
135,Line_C,M13,Morning,L077,40.1,56.25,58.51,26.23,49.77,4.868,0.902,26.08,394.8,372.67,22.14,361,339,22,883.21,14.4,0.06094
136,Line_A,M03,Evening,L022,13.1,45.48,47.01,35.7,36.72,4.513,1.027,26.27,445.86,428.31,17.56,412,392,20,792.66,9.6,0.04854
137,Line_D,M05,Night,L027,19.1,48.38,47.56,30.89,49.27,5.306,1.218,22.3,424.41,422.22,2.19,351,334,17,510.0,7.58,0.04843
138,Line_B,M16,Evening,L053,57.8,46.03,49.77,27.53,35.45,5.335,1.036,14.69,409.5,401.15,8.36,228,226,2,72.65,1.34,0.00877
139,Line_D,M08,Evening,L008,18.8,50.02,52.85,30.62,55.16,5.398,0.975,37.32,422.67,416.85,5.82,350,339,11,467.91,5.43,0.03143
140,Line_A,M04,Evening,L003,33.3,52.72,58.28,24.59,47.45,5.251,0.866,36.19,430.56,411.51,19.05,253,247,6,238.66,4.34,0.02372
141,Line_B,M09,Night,L105,35.9,43.05,47.07,29.44,42.29,4.879,0.578,39.4,421.63,397.31,24.33,308,282,26,1116.95,18.09,0.08442
142,Line_B,M15,Morning,L035,20.3,51.03,51.82,31.35,54.12,5.28,1.342,44.47,421.89,420.92,0.97,401,387,14,578.94,5.93,0.03491
143,Line_D,M04,Evening,L069,21.1,46.34,48.62,28.51,42.62,5.542,0.941,19.29,403.01,384.65,18.36,325,304,21,954.8,10.73,0.06462
144,Line_C,M10,Night,L022,21.9,45.21,43.99,26.85,58.48,5.437,0.946,64.94,394.4,367.12,27.28,220,209,11,483.4,7.38,0.05
145,Line_B,M13,Morning,L083,30.8,48.62,51.08,33.78,57.2,4.742,1.093,15.19,413.88,402.04,11.84,205,196,9,290.1,3.1,0.0439
146,Line_A,M10,Morning,L002,32.3,46.44,44.67,31.15,55.28,4.954,1.167,43.11,433.87,413.83,20.04,198,195,3,109.36,1.33,0.01515
147,Line_B,M15,Morning,L092,25.2,54.45,54.32,31.38,46.35,5.114,1.001,30.6,419.16,415.04,4.12,211,200,11,394.23,5.15,0.05213
148,Line_C,M07,Evening,L078,17.2,47.7,47.82,28.73,45.1,4.979,1.024,48.38,398.7,398.26,0.44,302,290,12,560.34,6.09,0.03974
149,Line_B,M13,Morning,L050,24.1,47.6,50.12,32.59,46.73,5.038,0.758,80.97,420.83,415.99,4.84,237,216,21,1014.3,10.43,0.08861
150,Line_A,M07,Morning,L103,25.2,50.21,51.0,22.7,59.51,5.445,1.257,17.65,407.06,404.25,2.8,204,196,8,324.5,3.63,0.03922
151,Line_D,M01,Evening,L102,31.8,42.74,44.57,33.93,47.36,5.345,1.268,23.73,438.31,428.04,10.26,228,223,5,218.98,2.56,0.02193
152,Line_D,M06,Evening,L072,27.7,48.71,50.65,28.1,40.45,5.028,0.573,11.35,367.27,353.51,13.76,308,301,7,269.58,4.2,0.02273
153,Line_A,M03,Night,L077,63.7,54.21,59.9,26.85,39.1,5.276,0.966,20.88,420.1,411.3,8.81,405,390,15,647.93,5.65,0.03704
154,Line_C,M12,Evening,L073,20.3,43.57,47.15,33.46,69.94,5.867,0.961,13.91,422.91,421.4,1.51,405,384,21,865.48,8.21,0.05185
155,Line_A,M07,Night,L039,4.4,52.8,52.54,28.75,59.26,5.11,0.87,35.55,416.41,409.27,7.14,190,184,6,245.24,3.94,0.03158
156,Line_C,M12,Evening,L084,39.8,44.99,44.04,39.33,41.8,4.634,0.759,14.62,436.85,430.71,6.14,391,356,35,1751.42,14.66,0.08951
157,Line_B,M12,Evening,L046,16.3,50.31,55.17,31.19,47.63,5.612,0.771,88.76,410.9,401.63,9.27,417,385,32,1142.97,20.7,0.07674
158,Line_C,M09,Evening,L105,24.8,39.78,35.97,34.13,56.07,5.441,0.878,56.66,432.85,421.81,11.04,286,270,16,551.7,10.75,0.05594
159,Line_C,M15,Morning,L044,26.8,45.43,46.28,30.01,36.57,6.086,1.049,67.27,401.55,395.12,6.44,187,180,7,336.8,2.53,0.03743
160,Line_C,M08,Morning,L087,28.9,51.4,54.11,36.2,61.83,4.785,0.515,47.62,404.52,400.27,4.25,350,341,9,423.59,3.53,0.02571
161,Line_A,M12,Morning,L015,5.6,50.3,45.62,33.18,46.39,4.965,0.924,10.2,424.2,421.37,2.83,257,253,4,154.15,1.87,0.01556
162,Line_D,M11,Morning,L045,21.1,45.41,42.83,31.31,44.95,5.133,0.764,20.0,420.55,415.83,4.72,407,399,8,302.69,5.47,0.01966
163,Line_A,M12,Night,L065,19.0,48.9,49.66,30.76,52.36,5.354,0.869,60.29,422.06,416.58,5.47,251,244,7,373.76,3.43,0.02789
164,Line_A,M08,Night,L099,6.8,46.87,53.84,23.11,43.28,4.775,0.489,8.07,423.23,409.68,13.55,206,195,11,507.07,6.99,0.0534
165,Line_C,M07,Morning,L106,11.9,42.84,42.18,34.85,63.15,5.82,0.735,46.62,430.41,429.31,1.09,414,398,16,521.34,12.7,0.03865
166,Line_B,M14,Morning,L068,72.5,45.27,48.89,30.67,55.66,5.97,1.02,57.33,400.24,396.03,4.21,316,311,5,171.67,3.04,0.01582
167,Line_D,M15,Morning,L002,20.9,46.12,51.52,35.36,47.74,6.268,0.859,31.33,429.47,420.8,8.67,280,278,2,94.13,1.24,0.00714
168,Line_D,M02,Evening,L106,4.7,41.4,43.31,32.74,45.71,5.383,0.931,83.09,445.94,439.4,6.54,412,399,13,541.55,6.96,0.03155
169,Line_B,M16,Evening,L075,40.6,46.43,52.02,31.36,59.73,4.357,0.889,50.96,417.77,411.8,5.97,384,368,16,770.0,8.3,0.04167
170,Line_D,M15,Night,L083,9.0,39.99,44.33,27.51,32.99,5.46,0.699,55.56,422.57,409.52,13.05,357,342,15,655.03,7.79,0.04202
171,Line_B,M10,Night,L064,23.7,46.25,49.53,36.03,63.89,5.529,0.27,52.0,417.87,407.52,10.35,287,275,12,594.41,6.6,0.04181
